date,Benchmark,Portfolio,T-Bills
2006-09-30,220.7184,243.0843,197.4958
2006-10-31,221.6466,243.8427,198.2976
2006-11-30,222.6984,244.9375,199.1359
2006-12-31,223.2258,245.6332,199.9688
2007-01-31,223.9726,246.6722,200.8030
2007-02-28,225.3232,248.3915,201.6569
2007-03-31,226.2652,249.4844,202.5180
2007-04-30,227.1630,250.4549,203.3665
2007-05-31,227.5923,250.6202,204.1868
2007-06-30,228.5673,251.6352,204.9918
2007-07-31,230.1257,253.0872,205.8121
2007-08-31,231.8297,254.7221,206.6594
2007-09-30,233.1690,255.9524,207.3665
2007-10-31,234.1360,256.6614,208.0224
2007-11-30,236.6532,259.8645,208.7005
2007-12-31,237.4774,260.6883,209.2473
2008-01-31,240.0383,263.4985,209.8118
2008-02-29,241.6536,265.3246,210.1511
2008-03-31,242.2916,266.3753,210.4730
2008-04-30,241.6470,265.4776,210.7037
2008-05-31,241.5095,265.3077,210.9456
2008-06-30,242.1404,266.0532,211.2759
2008-07-31,242.9221,267.1360,211.5806
2008-08-31,243.8053,268.1191,211.8731
2008-09-30,245.0634,269.2318,212.1751
2008-10-31,246.5439,270.4110,212.3350
2008-11-30,248.3251,272.2985,212.4122
2008-12-31,249.4090,273.8424,212.4194
2009-01-31,249.2438,274.4093,212.4328
2009-02-28,249.3073,274.7276,212.4729
2009-03-31,250.0849,275.7908,212.5165
2009-04-30,250.0506,276.0776,212.5521
2009-05-31,250.3847,276.7402,212.5742
2009-06-30,250.2916,277.1442,212.5972
2009-07-31,250.5280,277.8371,212.6286
2009-08-31,251.0891,278.7956,212.6597
2009-09-30,251.4409,279.2891,212.6822
2009-10-31,251.7433,279.8952,212.7012
2009-11-30,252.5380,280.5921,212.7091
2009-12-31,251.5634,280.0534,212.7174
2010-01-31,252.5392,280.9159,212.7259
2010-02-28,252.7996,281.2727,212.7381
2010-03-31,252.5128,281.0955,212.7584
2010-04-30,252.8763,281.4553,212.7850
2010-05-31,253.4826,281.7198,212.8124
2010-06-30,254.0675,282.1312,212.8393
2010-07-31,254.4460,283.0424,212.8696
2010-08-31,254.7410,283.2887,212.8944
2010-09-30,254.9932,283.8128,212.9169
2010-10-31,255.3079,284.2328,212.9441
2010-11-30,255.1049,284.0693,212.9637
2010-12-31,254.8938,284.0807,212.9912
2011-01-31,255.1344,284.3931,213.0125
2011-02-28,255.0496,284.6008,213.0382
2011-03-31,255.0193,284.7914,213.0622
2011-04-30,255.6039,285.3525,213.0784
2011-05-31,256.0888,285.7434,213.0847
2011-06-30,256.1617,285.8234,213.0928
2011-07-31,256.5379,286.2224,213.0946
2011-08-31,257.0182,286.2834,213.1108
2011-09-30,256.8565,285.9327,213.1126
2011-10-31,257.0047,285.9967,213.1162
2011-11-30,257.1064,283.4714,213.1135
2011-12-31,257.2224,285.0529,213.1135
2012-01-31,257.4216,286.3539,213.1154
2012-02-29,257.2943,287.1737,213.1244
2012-03-31,257.2787,288.0432,213.1379
2012-04-30,257.6013,288.2780,213.1497
2012-05-31,257.7060,288.4060,213.1659
2012-06-30,257.6791,288.6953,213.1776
2012-07-31,258.0356,289.3414,213.1920
2012-08-31,258.0920,289.7430,213.2091
2012-09-30,258.1400,290.0220,213.2218
2012-10-31,258.0972,290.1969,213.2380
2012-11-30,258.2375,290.3643,213.2569
2012-12-31,258.3067,290.4564,213.2704
2013-01-31,258.3520,290.6121,213.2777
2013-02-28,258.4884,290.8742,213.2903
2013-03-31,258.5621,290.9824,213.3083
2013-04-30,258.7380,291.2105,213.3209
2013-05-31,258.5997,291.2487,213.3290
2013-06-30,258.5468,291.2251,213.3335
2013-07-31,258.7865,291.4100,213.3389
2013-08-31,258.6999,291.4639,213.3452
2013-09-30,259.0202,291.8405,213.3488
2013-10-31,259.1807,292.0845,213.3497
2013-11-30,259.3252,292.2898,213.3561
2013-12-31,259.1705,292.0680,213.3660
2014-01-31,259.3980,292.3425,213.3777
2014-02-28,259.5365,292.5126,213.3813
2014-03-31,259.4166,292.5334,213.3894
2014-04-30,259.6093,292.7291,213.3948
2014-05-31,259.8687,293.0321,213.3993
2014-06-30,259.8326,293.0825,213.4047
2014-07-31,259.7554,293.0596,213.4083
2014-08-31,259.9980,293.2569,213.4119
2014-09-30,259.9531,293.3753,213.4156
2014-10-31,260.3382,293.5660,213.4183
2014-11-30,260.5533,293.7287,213.4192
2014-12-31,260.2592,293.5615,213.4210
2015-01-31,260.9358,293.8956,213.4273
2015-02-28,260.6753,293.8010,213.4273
2015-03-31,261.0093,293.9966,213.4291
2015-04-30,261.1091,294.1004,213.4327
2015-05-31,261.2507,294.3678,213.4327
2015-06-30,261.3215,294.3589,213.4327
2015-07-31,261.4239,294.4287,213.4336
2015-08-31,261.4034,294.4375,213.4444
2015-09-30,261.8405,294.6642,213.4444
2015-10-31,261.7628,294.5561,213.4408
2015-11-30,261.4960,294.4021,213.4535
2015-12-31,261.4449,294.3588,213.4833
2016-01-31,262.3208,294.8527,213.5123
2016-02-29,262.5526,295.1054,213.5675
2016-03-31,262.8656,295.4601,213.6236
2016-04-30,262.9975,295.8596,213.6589
2016-05-31,262.9464,296.0495,213.6961
2016-06-30,263.8114,296.5490,213.7468
2016-07-31,263.8224,296.8962,213.7929
2016-08-31,263.6877,297.0271,213.8381
2016-09-30,263.9324,297.4840,213.8968
2016-10-31,263.9331,297.5857,213.9456
2016-11-30,263.5032,297.2616,213.9990
2016-12-31,263.6432,297.4700,214.0841
2017-01-31,263.9255,297.9329,214.1728
2017-02-28,264.1672,298.2701,214.2643
2017-03-31,264.3383,298.6126,214.3722
2017-04-30,264.6491,299.0279,214.5065
2017-05-31,264.9373,299.4280,214.6481
2017-06-30,264.9700,299.5894,214.8217
2017-07-31,265.4013,300.1023,215.0028
2017-08-31,265.8029,300.5441,215.1949
2017-09-30,265.7320,300.6541,215.3726
2017-10-31,265.8117,300.8218,215.5594
2017-11-30,265.7023,300.8137,215.7626
2017-12-31,265.9016,301.0285,215.9884
2018-01-31,265.7052,301.0610,216.2360
2018-02-28,265.8473,301.2001,216.4982
2018-03-31,266.3476,301.7754,216.7962
2018-04-30,266.4099,301.9257,217.1034
2018-05-31,267.1609,302.6950,217.4290
2018-06-30,267.4411,303.1151,217.7722
2018-07-31,267.7040,303.5080,218.1193
2018-08-31,268.3985,304.3068,218.4865
2018-09-30,268.4845,304.5420,218.8677
2018-10-31,268.9901,305.1152,219.2683
2018-11-30,269.7523,305.9152,219.6932
2018-12-31,271.1413,307.0624,220.1220
2019-01-31,271.8311,307.8537,220.5540
2019-02-28,272.2518,308.3752,220.9921
2019-03-31,273.3702,309.5982,221.4401
2019-04-30,273.9630,310.2750,221.8795
2019-05-31,275.2345,311.5781,222.3251
2019-06-30,276.2074,312.6393,222.7586
2019-07-31,276.3355,312.9779,223.1460
2019-08-31,277.7000,314.3460,223.5293
2019-09-30,277.7764,314.5833,223.8975
2019-10-31,278.4957,315.4355,224.2347
2019-11-30,278.6649,315.6531,224.5194
2019-12-31,279.1975,316.2551,224.8127
2020-01-31,280.1729,317.4373,225.1019
2020-02-29,281.5780,318.8464,225.3904
2020-03-31,283.6502,320.3934,225.6284
2020-04-30,283.8450,321.1649,225.6398
